primary key_x,foreign key_x,size_x,primary key_y,foreign key_y,size_y,YYYY_x,array_x,boolean_x,float_x,integer_x,string_x,array_y,boolean_y,float_y,integer_y,string_y,timestamp_y,outputscore
0,0,15,1.0,0.0,6.0,0,1,0,0,0,0,0,0,0,1,0,0,0.013167958706617355
0,0,40,0.0,1.0,1000.0,0,0,0,0,0,1,0,0,0,1,0,0,0.10992664098739624
0,0,40,0.0,0.0,5.0,0,0,0,0,0,1,0,0,1,0,0,0,0.00024208669492509216
1,1,100,0.0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,0,1,0.0004508423444349319
1,0,10,1.0,0.0,4600.0,0,0,0,0,0,1,0,0,0,1,0,0,0.007842034101486206
0,0,30,1.0,0.0,1000.0,0,0,0,0,0,1,0,0,0,1,0,0,0.026958545669913292
1,0,50,1.0,0.0,4600.0,0,0,0,0,1,0,0,0,0,1,0,0,2.3897926439531147e-05
0,0,2,0.0,0.0,13.0,0,0,1,0,0,0,0,0,0,0,0,1,2.280889020767063e-05
0,0,15,0.0,0.0,40.0,0,1,0,0,0,0,0,0,0,0,1,0,0.6806643605232239
1,0,50,0.0,0.0,40.0,0,0,0,0,1,0,0,0,0,0,1,0,7.203350105555728e-05
0,0,50,0.0,0.0,7.0,0,0,0,0,0,1,0,0,1,0,0,0,1.0589176781650167e-05
0,0,20,1.0,0.0,4600.0,0,1,0,0,0,0,0,0,0,1,0,0,0.0002953437506221235
0,0,13,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,1,0,0,0.0022874735295772552
1,1,100,,,,0,0,0,0,0,1,0,0,0,0,0,0,0.00047206899034790695
1,0,10,1.0,0.0,20.0,0,0,0,0,0,1,0,0,0,1,0,0,0.1547243744134903
1,0,50,0.0,0.0,13.0,0,0,0,0,1,0,0,0,0,0,0,1,1.4802814121139818e-06
1,0,10,0.0,0.0,60.0,0,0,0,0,0,1,0,0,0,1,0,0,5.074081855127588e-05
0,0,10,1.0,0.0,20.0,0,1,0,0,0,0,0,0,0,1,0,0,0.0347474180161953
0,0,15,0.0,1.0,110.0,0,1,0,0,0,0,0,0,0,1,0,0,2.100450001307763e-05
0,0,10,,,,0,1,0,0,0,0,0,0,0,0,0,0,7.553808245575055e-05
0,0,15,0.0,0.0,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0.00020247336942702532
0,1,10,0.0,0.0,3.0,0,0,0,0,0,1,1,0,0,0,0,0,9.124329153564759e-06
0,0,40,0.0,0.0,15.0,0,0,0,0,0,1,0,0,0,0,1,0,0.012969831004738808
0,0,100,,,,0,0,0,0,1,0,0,0,0,0,0,0,7.492343229387188e-06
1,0,10,0.0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,0,1,7.5259154073137324e-06
0,0,50,1.0,0.0,1000.0,0,0,0,0,0,1,0,0,0,1,0,0,0.0017856828635558486
0,0,20,0.0,0.0,4.0,0,1,0,0,0,0,0,0,0,0,0,1,0.008449924178421497
0,0,15,0.0,0.0,11.0,0,0,0,0,1,0,0,0,0,0,1,0,6.4918422140181065e-06
0,0,30,0.0,1.0,1000.0,0,0,0,0,0,1,0,0,0,1,0,0,0.0003127958916593343
0,0,30,0.0,1.0,200.0,0,0,0,0,0,1,0,0,0,1,0,0,0.004427358042448759
1,0,10,0.0,0.0,5.0,0,0,0,0,0,1,0,0,0,0,1,0,6.950971146579832e-05
0,0,30,,,,0,0,0,0,0,1,0,0,0,0,0,0,1.079563617167878e-06
0,0,10,,,,0,1,0,0,0,0,0,0,0,0,0,0,0.0018100619781762362
0,0,40,1.0,0.0,650.0,0,0,0,0,0,1,0,0,0,1,0,0,0.0005954910884611309
0,0,30,0.0,0.0,30.0,0,0,0,0,0,1,0,0,0,0,1,0,9.775151283974992e-07
0,0,20,0.0,1.0,2.0,0,0,0,0,0,1,0,0,0,1,0,0,1.955074185389094e-05
0,0,20,0.0,1.0,110.0,0,1,0,0,0,0,0,0,0,1,0,0,9.53322378336452e-05
0,0,30,0.0,0.0,15.0,0,0,0,0,0,1,0,0,0,0,1,0,1.7613017917028628e-05
1,0,30,0.0,0.0,13.0,0,0,0,0,0,1,0,0,0,0,0,1,3.2980774449242745e-06
0,0,13,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,1,0,1.8564525817055255e-05
0,0,30,0.0,0.0,35.0,0,0,0,0,0,1,0,0,0,0,1,0,1.5768215462230728e-06
0,0,100,1.0,0.0,1000.0,0,0,0,0,0,1,0,0,0,1,0,0,0.06973008811473846
0,0,10,0.0,0.0,40.0,0,1,0,0,0,0,0,0,0,0,1,0,0.00014970415213610977
0,0,20,0.0,0.0,13.0,0,1,0,0,0,0,0,0,0,0,0,1,6.244488758966327e-05
0,0,13,0.0,0.0,40.0,1,0,0,0,0,0,0,0,0,0,1,0,2.7395168217481114e-05
0,0,2,0.0,0.0,150.0,0,0,1,0,0,0,0,0,0,0,1,0,0.03566097840666771
0,0,15,0.0,1.0,2.0,0,0,0,0,1,0,0,0,0,1,0,0,5.284948656480992e-06
0,0,100,1.0,0.0,600.0,0,0,0,0,0,1,0,0,0,1,0,0,2.56593557423912e-05
0,0,40,0.0,0.0,60.0,0,0,0,0,0,1,0,0,0,1,0,0,0.0005197647260501981
0,0,10,0.0,0.0,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0.0014679344603791833
1,0,10,0.0,0.0,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0.0005492458585649729
