size1,size2,date_x,integer_x,string_x,time_x,date_y,integer_y,string_y,time_y,outputscore
3,4,0,0,1,0,1,0,0,0,0.5223680138587952
3,15,0,0,1,0,0,0,1,0,0.19609962403774261
3,12,0,0,1,0,0,0,1,0,0.19983601570129395
3,8,0,0,1,0,0,0,0,1,0.45142862200737
7,3,0,0,1,0,0,0,1,0,0.13762788474559784
7,4,0,0,1,0,1,0,0,0,0.39479243755340576
7,15,0,0,1,0,0,0,1,0,0.4596307873725891
7,12,0,0,1,0,0,0,1,0,0.48518961668014526
7,8,0,0,1,0,0,0,0,1,0.4942428469657898
10,15,0,0,1,0,0,0,1,0,0.14724045991897583
10,12,0,0,1,0,0,0,1,0,0.8752907514572144
10,8,0,0,1,0,0,0,0,1,0.5710734724998474
4,3,1,0,0,0,0,0,1,0,0.17852967977523804
4,4,1,0,0,0,1,0,0,0,0.7106610536575317
4,15,1,0,0,0,0,0,1,0,0.1530812680721283
4,8,1,0,0,0,0,0,0,1,0.2098456770181656
6,4,0,0,1,0,1,0,0,0,0.17188729345798492
6,12,0,0,1,0,0,0,1,0,0.33420753479003906
8,4,0,0,0,1,1,0,0,0,0.2055809199810028
8,12,0,0,0,1,0,0,1,0,0.4547109305858612
8,8,0,0,0,1,0,0,0,1,0.11517352610826492
20,3,0,0,1,0,0,0,1,0,0.7086002826690674
20,4,0,0,1,0,1,0,0,0,0.31427985429763794
20,12,0,0,1,0,0,0,1,0,0.36222782731056213
20,8,0,0,1,0,0,0,0,1,0.21558590233325958
15,3,0,0,1,0,0,0,1,0,0.3009811043739319
15,4,0,0,1,0,1,0,0,0,0.1560058891773224
15,12,0,0,1,0,0,0,1,0,0.46343138813972473
15,8,0,0,1,0,0,0,0,1,0.20756438374519348
4,3,0,0,1,0,0,0,1,0,0.7245063185691833
4,4,0,0,1,0,1,0,0,0,0.14712771773338318
4,15,0,0,1,0,0,0,1,0,0.2787129580974579
4,12,0,0,1,0,0,0,1,0,0.4698069393634796
4,8,0,0,1,0,0,0,0,1,0.030486898496747017
4,3,0,0,1,0,0,0,1,0,0.5186410546302795
4,12,0,0,1,0,0,0,1,0,0.24152307212352753
4,8,0,0,1,0,0,0,0,1,0.14212696254253387
5,3,0,0,1,0,0,0,1,0,0.5373030304908752
5,4,0,0,1,0,1,0,0,0,0.5661388635635376
5,15,0,0,1,0,0,0,1,0,0.17880870401859283
5,12,0,0,1,0,0,0,1,0,0.13514864444732666
5,8,0,0,1,0,0,0,0,1,0.4963802397251129
5,3,0,0,1,0,0,0,1,0,0.035722766071558
5,4,0,0,1,0,1,0,0,0,0.7717344760894775
5,15,0,0,1,0,0,0,1,0,0.5114073753356934
5,12,0,0,1,0,0,0,1,0,0.42161911725997925
5,8,0,0,1,0,0,0,0,1,0.03472132980823517
3,3,1,0,0,0,0,0,1,0,0.6997149586677551
3,4,1,0,0,0,1,0,0,0,0.08589986711740494
3,15,1,0,0,0,0,0,1,0,0.07678470760583878
3,12,1,0,0,0,0,0,1,0,0.08641946315765381
3,8,1,0,0,0,0,0,0,1,0.03644522652029991
2,3,0,0,1,0,0,0,1,0,0.5092927813529968
2,4,0,0,1,0,1,0,0,0,0.15557856857776642
2,15,0,0,1,0,0,0,1,0,0.22963444888591766
40,15,0,0,1,0,0,0,1,0,0.22374798357486725
40,8,0,0,1,0,0,0,0,1,0.349194198846817
3,15,0,1,0,0,0,0,1,0,0.02551882155239582
3,12,0,1,0,0,0,0,1,0,0.6659558415412903
3,3,0,1,0,0,0,0,1,0,0.13223707675933838
3,4,0,1,0,0,1,0,0,0,0.13493618369102478
3,15,0,1,0,0,0,0,1,0,0.2231655865907669
3,12,0,1,0,0,0,0,1,0,0.7218930125236511
3,8,0,1,0,0,0,0,0,1,0.3771567642688751
41,3,0,1,0,0,0,0,1,0,0.6274753212928772
41,4,0,1,0,0,1,0,0,0,0.7083850502967834
41,15,0,1,0,0,0,0,1,0,0.07367858290672302
41,12,0,1,0,0,0,0,1,0,0.8028765916824341
41,8,0,1,0,0,0,0,0,1,0.6606882214546204
41,3,0,1,0,0,0,0,1,0,0.3875890076160431
41,12,0,1,0,0,0,0,1,0,0.3751533627510071
15,3,0,0,1,0,0,0,1,0,0.6764178276062012
15,4,0,0,1,0,1,0,0,0,0.045579198747873306
15,15,0,0,1,0,0,0,1,0,0.2475772202014923
15,12,0,0,1,0,0,0,1,0,0.29664888978004456
15,8,0,0,1,0,0,0,0,1,0.5154820084571838
45,3,0,1,0,0,0,0,1,0,0.17453521490097046
45,4,0,1,0,0,1,0,0,0,0.036901433020830154
45,15,0,1,0,0,0,0,1,0,0.48174765706062317
45,12,0,1,0,0,0,0,1,0,0.2392597198486328
45,8,0,1,0,0,0,0,0,1,0.31658488512039185
45,3,0,1,0,0,0,0,1,0,0.2292737513780594
45,4,0,1,0,0,1,0,0,0,0.18992242217063904
45,15,0,1,0,0,0,0,1,0,0.2293468713760376
45,8,0,1,0,0,0,0,0,1,0.5551140904426575
3,4,0,0,1,0,1,0,0,0,0.3927479684352875
3,15,0,0,1,0,0,0,1,0,0.1616213619709015
3,12,0,0,1,0,0,0,1,0,0.2693014144897461
3,8,0,0,1,0,0,0,0,1,0.20752467215061188
3,3,0,0,1,0,0,0,1,0,0.21198031306266785
3,4,0,0,1,0,1,0,0,0,0.8361139893531799
3,15,0,0,1,0,0,0,1,0,0.12187274545431137
3,12,0,0,1,0,0,0,1,0,0.7747310996055603
3,8,0,0,1,0,0,0,0,1,0.20621854066848755
1,3,0,0,1,0,0,0,1,0,0.047516364604234695
1,4,0,0,1,0,1,0,0,0,0.33541280031204224
1,15,0,0,1,0,0,0,1,0,0.20457696914672852
1,12,0,0,1,0,0,0,1,0,0.8167492747306824
8,4,0,0,0,1,1,0,0,0,0.7853134274482727
8,15,0,0,0,1,0,0,1,0,0.547262966632843
8,12,0,0,0,1,0,0,1,0,0.25589320063591003
8,8,0,0,0,1,0,0,0,1,0.10677396506071091
20,15,0,0,1,0,0,0,1,0,0.04481792822480202
20,12,0,0,1,0,0,0,1,0,0.20481467247009277
20,8,0,0,1,0,0,0,0,1,0.04359852150082588
40,2,0,1,0,0,0,0,1,0,0.1944066286087036
40,3,0,1,0,0,0,0,1,0,0.32398852705955505
40,4,0,1,0,0,0,1,0,0,0.27748435735702515
40,3,0,1,0,0,1,0,0,0,0.05032167583703995
40,0,0,1,0,0,0,0,1,0,0.35225701332092285
40,8,0,1,0,0,0,0,0,1,0.42419669032096863
40,15,0,1,0,0,0,0,1,0,0.04352295771241188
9,7,0,0,1,0,0,0,1,0,0.10466663539409637
9,3,0,0,1,0,0,0,1,0,0.15010006725788116
9,4,0,0,1,0,0,1,0,0,0.6610580086708069
9,3,0,0,1,0,1,0,0,0,0.2377118170261383
9,20,0,0,1,0,0,0,1,0,0.6193045973777771
9,0,0,0,1,0,0,0,1,0,0.06063900142908096
9,4,0,0,1,0,0,0,1,0,0.6612937450408936
9,8,0,0,1,0,0,0,0,1,0.6475693583488464
9,15,0,0,1,0,0,0,1,0,0.39163532853126526
10,30,0,0,1,0,0,1,0,0,0.5021146535873413
10,7,0,0,1,0,0,0,1,0,0.348023921251297
10,2,0,0,1,0,0,0,1,0,0.22923938930034637
10,0,0,0,1,0,0,0,1,0,0.05129234865307808
10,4,0,0,1,0,0,0,1,0,0.2391977161169052
10,8,0,0,1,0,0,0,0,1,0.3548661172389984
10,15,0,0,1,0,0,0,1,0,0.3084357678890228
3,30,1,0,0,0,0,1,0,0,0.06958141177892685
3,7,1,0,0,0,0,0,1,0,0.33444923162460327
3,2,1,0,0,0,0,0,1,0,0.5185454487800598
3,4,1,0,0,0,0,1,0,0,0.49696528911590576
3,3,1,0,0,0,1,0,0,0,0.055179622024297714
3,20,1,0,0,0,0,0,1,0,0.07096594572067261
3,0,1,0,0,0,0,0,1,0,0.11776808649301529
3,8,1,0,0,0,0,0,0,1,0.21321600675582886
5,30,0,0,1,0,0,1,0,0,0.07996417582035065
5,7,0,0,1,0,0,0,1,0,0.21463634073734283
5,3,0,0,1,0,0,0,1,0,0.22819280624389648
5,4,0,0,1,0,0,1,0,0,0.07287514209747314
5,3,0,0,1,0,1,0,0,0,0.03390582650899887
5,0,0,0,1,0,0,0,1,0,0.2533760070800781
5,4,0,0,1,0,0,0,1,0,0.06886573880910873
5,8,0,0,1,0,0,0,0,1,0.3450218141078949
2,7,0,0,1,0,0,0,1,0,0.505664050579071
2,2,0,0,1,0,0,0,1,0,0.3026389181613922
2,3,0,0,1,0,0,0,1,0,0.40354809165000916
2,3,0,0,1,0,1,0,0,0,0.07099924981594086
2,0,0,0,1,0,0,0,1,0,0.18968482315540314
2,4,0,0,1,0,0,0,1,0,0.10944132506847382
2,8,0,0,1,0,0,0,0,1,0.34747353196144104
