size1,size2,date_x,integer_x,string_x,time_x,date_y,integer_y,string_y,time_y,outputscore
3,4,0,0,1,0,1,0,0,0,0.45127731561660767
3,15,0,0,1,0,0,0,1,0,0.33066314458847046
3,12,0,0,1,0,0,0,1,0,0.4593294560909271
3,8,0,0,1,0,0,0,0,1,0.45413514971733093
7,3,0,0,1,0,0,0,1,0,0.4164014160633087
7,4,0,0,1,0,1,0,0,0,0.4910459816455841
7,15,0,0,1,0,0,0,1,0,0.4789181649684906
7,12,0,0,1,0,0,0,1,0,0.4854496717453003
7,8,0,0,1,0,0,0,0,1,0.48354148864746094
10,15,0,0,1,0,0,0,1,0,0.3719291090965271
10,12,0,0,1,0,0,0,1,0,0.5720481276512146
10,8,0,0,1,0,0,0,0,1,0.4704422354698181
4,3,1,0,0,0,0,0,1,0,0.32429781556129456
4,4,1,0,0,0,1,0,0,0,0.507595956325531
4,15,1,0,0,0,0,0,1,0,0.4082507789134979
4,8,1,0,0,0,0,0,0,1,0.33583909273147583
6,4,0,0,1,0,1,0,0,0,0.35953134298324585
6,12,0,0,1,0,0,0,1,0,0.4311847388744354
8,4,0,0,0,1,1,0,0,0,0.44668158888816833
8,12,0,0,0,1,0,0,1,0,0.4819907546043396
8,8,0,0,0,1,0,0,0,1,0.4202027916908264
20,3,0,0,1,0,0,0,1,0,0.4731219410896301
20,4,0,0,1,0,1,0,0,0,0.4467619061470032
20,12,0,0,1,0,0,0,1,0,0.4427303969860077
20,8,0,0,1,0,0,0,0,1,0.39084702730178833
15,3,0,0,1,0,0,0,1,0,0.42606186866760254
15,4,0,0,1,0,1,0,0,0,0.4163401424884796
15,12,0,0,1,0,0,0,1,0,0.47364237904548645
15,8,0,0,1,0,0,0,0,1,0.33952051401138306
4,3,0,0,1,0,0,0,1,0,0.49104514718055725
4,4,0,0,1,0,1,0,0,0,0.4290059506893158
4,15,0,0,1,0,0,0,1,0,0.4168585538864136
4,12,0,0,1,0,0,0,1,0,0.4632987380027771
4,8,0,0,1,0,0,0,0,1,0.33744147419929504
4,3,0,0,1,0,0,0,1,0,0.4707115590572357
4,12,0,0,1,0,0,0,1,0,0.41349318623542786
4,8,0,0,1,0,0,0,0,1,0.3889934718608856
5,3,0,0,1,0,0,0,1,0,0.4970579445362091
5,4,0,0,1,0,1,0,0,0,0.4563676416873932
5,15,0,0,1,0,0,0,1,0,0.32396337389945984
5,12,0,0,1,0,0,0,1,0,0.30034339427948
5,8,0,0,1,0,0,0,0,1,0.40055015683174133
5,3,0,0,1,0,0,0,1,0,0.32957279682159424
5,4,0,0,1,0,1,0,0,0,0.5372946858406067
5,15,0,0,1,0,0,0,1,0,0.49207472801208496
5,12,0,0,1,0,0,0,1,0,0.47912120819091797
5,8,0,0,1,0,0,0,0,1,0.37664079666137695
3,3,1,0,0,0,0,0,1,0,0.5062111020088196
3,4,1,0,0,0,1,0,0,0,0.4125062823295593
3,15,1,0,0,0,0,0,1,0,0.28001970052719116
3,12,1,0,0,0,0,0,1,0,0.3344532251358032
3,8,1,0,0,0,0,0,0,1,0.3582780659198761
2,3,0,0,1,0,0,0,1,0,0.45342811942100525
2,4,0,0,1,0,1,0,0,0,0.3178836703300476
2,15,0,0,1,0,0,0,1,0,0.4545435905456543
40,15,0,0,1,0,0,0,1,0,0.46041300892829895
40,8,0,0,1,0,0,0,0,1,0.46065640449523926
3,15,0,1,0,0,0,0,1,0,0.3147088289260864
3,12,0,1,0,0,0,0,1,0,0.5000098943710327
3,3,0,1,0,0,0,0,1,0,0.4280271530151367
3,4,0,1,0,0,1,0,0,0,0.40532028675079346
3,15,0,1,0,0,0,0,1,0,0.43249598145484924
3,12,0,1,0,0,0,0,1,0,0.49614500999450684
3,8,0,1,0,0,0,0,0,1,0.43653789162635803
41,3,0,1,0,0,0,0,1,0,0.5071651935577393
41,4,0,1,0,0,1,0,0,0,0.4897133708000183
41,15,0,1,0,0,0,0,1,0,0.4276295304298401
41,12,0,1,0,0,0,0,1,0,0.4932476580142975
41,8,0,1,0,0,0,0,0,1,0.49187543988227844
41,3,0,1,0,0,0,0,1,0,0.4328376352787018
41,12,0,1,0,0,0,0,1,0,0.4060174524784088
15,3,0,0,1,0,0,0,1,0,0.496848464012146
15,4,0,0,1,0,1,0,0,0,0.3741980195045471
15,15,0,0,1,0,0,0,1,0,0.3960564136505127
15,12,0,0,1,0,0,0,1,0,0.3441714942455292
15,8,0,0,1,0,0,0,0,1,0.48573037981987
45,3,0,1,0,0,0,0,1,0,0.33959275484085083
45,4,0,1,0,0,1,0,0,0,0.35259565711021423
