,size_x,size_y,boolean_x,string_x,boolean_y,float_y,integer_y,string_y,outputscore
0,30.0,15,0,1,0,0,0,1,0.04384491965174675
1,30.0,100,0,1,0,0,1,0,0.026892248541116714
2,30.0,100,0,1,0,0,1,0,0.025977376848459244
3,30.0,15,0,1,0,0,0,1,0.052966032177209854
4,30.0,5,0,1,0,0,1,0,2.3138793039834127e-05
5,30.0,5,0,1,0,0,1,0,2.405824307061266e-05
6,30.0,5,0,1,0,0,1,0,2.780033537419513e-05
7,30.0,5,0,1,0,0,1,0,2.8659165764111094e-05
8,30.0,4500,0,1,0,0,1,0,0.0005349625716917217
9,30.0,4500,0,1,0,0,1,0,0.000540105567779392
10,30.0,20,0,1,0,0,0,1,0.004381346516311169
11,30.0,1,0,1,0,0,1,0,5.867944491910748e-05
12,30.0,1,0,1,0,0,1,0,5.9801350289490074e-05
13,30.0,2,0,1,1,0,0,0,0.0008042660774663091
14,30.0,35,0,1,0,0,0,1,0.005409280303865671
15,30.0,15,0,1,0,0,0,1,0.0031759662088006735
16,30.0,70,0,1,0,0,0,1,0.045388784259557724
17,30.0,2,0,1,0,0,0,1,0.0057838074862957
18,30.0,50,0,1,0,0,0,1,0.0026760813780128956
19,30.0,5,0,1,0,0,0,1,0.0036984889302402735
20,30.0,5,0,1,0,0,0,1,0.0035937409847974777
21,30.0,3,0,1,0,0,1,0,0.001449323259294033
22,30.0,3,0,1,0,0,1,0,0.0014848968712612987
23,30.0,30,0,1,0,0,0,1,0.007100969087332487
24,30.0,15,0,1,0,0,0,1,0.0026154324878007174
25,30.0,600,0,1,0,0,0,1,0.01233424711972475
26,30.0,4200000,0,1,0,0,1,0,0.0016594146145507693
27,30.0,15,0,1,0,0,0,1,0.0032498305663466454
28,30.0,60,0,1,0,0,0,1,0.0023066916037350893
29,30.0,5,0,1,0,0,0,1,0.002463524928316474
30,30.0,5,0,1,0,0,0,1,0.002380604390054941
31,30.0,1,0,1,0,0,1,0,3.468571594567038e-05
32,30.0,1,0,1,0,0,1,0,3.519370511639863e-05
33,30.0,140,0,1,0,1,0,0,0.0022887983359396458
34,30.0,140,0,1,0,1,0,0,0.002310981974005699
35,30.0,310,0,1,0,1,0,0,0.0022577731870114803
36,30.0,310,0,1,0,1,0,0,0.002283441834151745
37,30.0,2,0,1,1,0,0,0,0.0006328904419206083
38,30.0,11,0,1,0,0,0,1,0.02618827484548092
39,30.0,2,0,1,1,0,0,0,0.003522834274917841
40,30.0,3,0,1,0,0,0,1,0.03435452654957771
41,30.0,3,0,1,0,0,0,1,0.033754587173461914
42,30.0,60,0,1,0,0,0,1,0.42520347237586975
43,30.0,15,0,1,0,0,0,1,0.04384491965174675
44,30.0,100,0,1,0,0,1,0,0.026892248541116714
45,30.0,100,0,1,0,0,1,0,0.025977376848459244
46,30.0,15,0,1,0,0,0,1,0.052966032177209854
47,30.0,30,0,1,0,0,0,1,0.06913115084171295
48,30.0,7,0,1,0,0,0,1,0.17857585847377777
49,2.0,15,1,0,0,0,0,1,0.00022200806415639818
50,2.0,100,1,0,0,0,1,0,0.00021299597574397922
51,2.0,100,1,0,0,0,1,0,0.00020817147742491215
52,2.0,15,1,0,0,0,0,1,0.0002605399349704385
53,2.0,5,1,0,0,0,1,0,0.00042753666639328003
54,2.0,5,1,0,0,0,1,0,0.00042788361315615475
55,2.0,5,1,0,0,0,1,0,0.0003521516337059438
56,2.0,5,1,0,0,0,1,0,0.0003550053224898875
57,2.0,4500,1,0,0,0,1,0,0.005930608604103327
58,2.0,4500,1,0,0,0,1,0,0.005971175152808428
59,2.0,20,1,0,0,0,0,1,0.025190213695168495
60,2.0,1,1,0,0,0,1,0,0.0003112614795099944
