primary key_x,foreign key_x,size_x,primary key_y,foreign key_y,size_y,YYYY_x,array_x,boolean_x,integer_x,string_x,array_y,boolean_y,float_y,integer_y,string_y,timestamp_y,outputscore
0,0,13,0,1,20,1,0,0,0,0,0,0,0,1,0,0,0.005281353835016489
0,0,13,0,1,200,1,0,0,0,0,0,0,0,1,0,0,0.004012312740087509
0,0,13,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0.0015813336940482259
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,5.529933696379885e-05
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,2.3272148609976284e-05
0,0,13,1,0,650,1,0,0,0,0,0,0,0,1,0,0,7.981673115864396e-05
0,0,13,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0.00020733931160066277
0,0,13,1,0,6,1,0,0,0,0,0,0,0,1,0,0,0.0005285809165798128
0,0,13,0,1,1000,1,0,0,0,0,0,0,0,1,0,0,0.005349709652364254
0,0,13,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0.00014220278535503894
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0.000183973039384
0,0,13,0,1,1000,1,0,0,0,0,0,0,0,1,0,0,0.004547691438347101
0,0,13,1,0,1000,1,0,0,0,0,0,0,0,1,0,0,0.014193940907716751
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,3.755462967092171e-05
0,0,13,0,0,40,1,0,0,0,0,0,0,0,0,1,0,0.06382957845926285
0,0,13,0,0,35,1,0,0,0,0,0,0,0,0,1,0,9.22152103157714e-05
0,0,13,0,1,600,1,0,0,0,0,0,0,0,1,0,0,0.0001648955512791872
0,0,13,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0.003083714284002781
0,0,13,0,0,60,1,0,0,0,0,0,0,0,1,0,0,0.00012388313189148903
0,0,13,0,0,35,1,0,0,0,0,0,0,0,0,1,0,0.00010677946556825191
0,0,13,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0.00013634332572109997
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,5.1684451136679854e-06
0,0,13,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0.007930738851428032
0,0,13,0,0,30,1,0,0,0,0,0,0,0,0,1,0,0.0013706772588193417
0,0,13,0,1,610,1,0,0,0,0,0,0,0,1,0,0,0.0003322629490867257
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,2.7802563636214472e-05
