primary key_x,foreign key_x,size_x,primary key_y,foreign key_y,size_y,YYYY_x,array_x,boolean_x,integer_x,string_x,array_y,boolean_y,float_y,integer_y,string_y,timestamp_y,outputscore
0,0,13,0,1,20,1,0,0,0,0,0,0,0,1,0,0,0.0033734398894011974
0,0,13,0,1,200,1,0,0,0,0,0,0,0,1,0,0,0.004116332158446312
0,0,13,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0.002707134000957012
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,3.522717815940268e-05
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,6.290773308137432e-05
0,0,13,1,0,650,1,0,0,0,0,0,0,0,1,0,0,6.86369530740194e-05
0,0,13,0,0,2,1,0,0,0,0,0,1,0,0,0,0,7.20972748240456e-05
0,0,13,1,0,6,1,0,0,0,0,0,0,0,1,0,0,0.0014805165119469166
0,0,13,0,1,1000,1,0,0,0,0,0,0,0,1,0,0,0.003680711379274726
0,0,13,0,1,2,1,0,0,0,0,0,0,0,1,0,0,8.314089063787833e-05
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,6.534744170494378e-05
0,0,13,0,1,1000,1,0,0,0,0,0,0,0,1,0,0,0.004192008171230555
0,0,13,1,0,1000,1,0,0,0,0,0,0,0,1,0,0,0.015121457166969776
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,3.8121258967294125e-06
0,0,13,0,0,40,1,0,0,0,0,0,0,0,0,1,0,0.014115259051322937
0,0,13,0,0,35,1,0,0,0,0,0,0,0,0,1,0,3.8187834434211254e-05
0,0,13,0,1,600,1,0,0,0,0,0,0,0,1,0,0,0.00010370379459345713
0,0,13,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0.00017688845400698483
0,0,13,0,0,60,1,0,0,0,0,0,0,0,1,0,0,5.059490285930224e-05
0,0,13,0,0,35,1,0,0,0,0,0,0,0,0,1,0,3.451509110163897e-05
0,0,13,0,0,11,1,0,0,0,0,0,0,0,0,1,0,3.854040187434293e-05
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,7.73252577346284e-06
0,0,13,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0.0014562384458258748
0,0,13,0,0,30,1,0,0,0,0,0,0,0,0,1,0,0.0005700626643374562
0,0,13,0,1,610,1,0,0,0,0,0,0,0,1,0,0,0.00016036008310038596
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,1.2705095286946744e-05
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0.00013938585470896214
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,8.637362043373287e-06
0,0,13,1,0,1000,1,0,0,0,0,0,0,0,1,0,0,0.01147032156586647
0,0,13,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0.016657430678606033
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,6.67051353957504e-05
0,0,13,0,0,25,1,0,0,0,0,0,0,0,0,1,0,2.8108506739954464e-05
0,0,13,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0.0007322552846744657
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,2.3624423192813993e-05
0,0,13,0,0,13,1,0,0,0,0,0,0,0,0,0,1,2.0882267563138157e-05
0,0,13,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0.0010303377639502287
0,0,13,1,0,110,1,0,0,0,0,0,0,0,1,0,0,0.0014983494766056538
0,0,13,0,0,150,1,0,0,0,0,0,0,0,0,1,0,0.0038150555919855833
0,0,13,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0.16973748803138733
0,0,13,0,0,15,1,0,0,0,0,0,0,0,0,1,0,4.8796136979945004e-05
0,0,13,0,0,40,1,0,0,0,0,0,0,0,0,1,0,0.03574342653155327
0,0,13,1,0,110,1,0,0,0,0,0,0,0,1,0,0,0.0010697228135541081
0,0,13,0,0,40,1,0,0,0,0,0,0,0,0,1,0,4.065338725922629e-05
0,0,13,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0.00024732554447837174
0,0,13,1,0,20,1,0,0,0,0,0,0,0,1,0,0,0.00019248116586823016
0,0,13,0,1,1000,1,0,0,0,0,0,0,0,1,0,0,0.0035248855128884315
0,0,13,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0.0016015490982681513
0,0,13,1,0,600,1,0,0,0,0,0,0,0,1,0,0,0.0010134633630514145
