,size1,size2,date_x,integer_x,string_x,time_x,date_y,integer_y,string_y,time_y,outputscore
0,3,3,0,0,1,0,0,0,1,0,0.35248228907585144
1,3,4,0,0,1,0,1,0,0,0,0.57369065284729
2,3,15,0,0,1,0,0,0,1,0,0.4023549556732178
3,3,12,0,0,1,0,0,0,1,0,0.5561168789863586
4,3,8,0,0,1,0,0,0,0,1,0.5826303362846375
5,7,3,0,0,1,0,0,0,1,0,0.22472554445266724
6,7,4,0,0,1,0,1,0,0,0,0.4070422947406769
7,7,15,0,0,1,0,0,0,1,0,0.26680296659469604
8,7,12,0,0,1,0,0,0,1,0,0.3878820836544037
9,7,8,0,0,1,0,0,0,0,1,0.41360077261924744
10,20,3,0,0,1,0,0,0,1,0,0.36062318086624146
11,20,4,0,0,1,0,1,0,0,0,0.6024826169013977
12,20,15,0,0,1,0,0,0,1,0,0.4124698340892792
13,20,12,0,0,1,0,0,0,1,0,0.5909726619720459
14,20,8,0,0,1,0,0,0,0,1,0.6215474009513855
15,50,3,0,0,1,0,0,0,1,0,0.3645077049732208
16,50,7,0,0,1,0,0,0,1,0,0.21268229186534882
17,50,10,0,0,1,0,0,0,1,0,0.266971617937088
18,50,4,0,0,1,0,1,0,0,0,0.31169915199279785
19,50,6,0,0,1,0,0,0,1,0,0.3001144826412201
20,50,8,0,0,1,0,0,0,0,1,0.3191714882850647
21,50,20,0,0,1,0,0,0,1,0,0.4032480716705322
22,15,3,0,0,1,0,0,0,1,0,0.31066444516181946
23,15,7,0,0,1,0,0,0,1,0,0.18444280326366425
24,15,10,0,0,1,0,0,0,1,0,0.2394990622997284
25,15,4,0,0,1,0,1,0,0,0,0.26564350724220276
26,15,6,0,0,1,0,0,0,1,0,0.25363874435424805
27,15,8,0,0,1,0,0,0,0,1,0.2686443328857422
28,15,20,0,0,1,0,0,0,1,0,0.3497043251991272
29,4,3,1,0,0,0,0,0,1,0,0.3609022796154022
30,4,7,1,0,0,0,0,0,1,0,0.21124309301376343
31,4,10,1,0,0,0,0,0,1,0,0.25212299823760986
32,4,4,1,0,0,0,1,0,0,0,0.3049822449684143
33,4,6,1,0,0,0,0,0,1,0,0.294504314661026
34,4,8,1,0,0,0,0,0,0,1,0.3115440309047699
35,4,20,1,0,0,0,0,0,1,0,0.3931865692138672
36,1,3,0,0,1,0,0,0,1,0,0.3493550419807434
37,1,7,0,0,1,0,0,0,1,0,0.1987752914428711
38,1,10,0,0,1,0,0,0,1,0,0.24462251365184784
39,1,4,0,0,1,0,1,0,0,0,0.28760281205177307
40,1,6,0,0,1,0,0,0,1,0,0.2806102931499481
41,1,8,0,0,1,0,0,0,0,1,0.2978720963001251
42,1,20,0,0,1,0,0,0,1,0,0.3739384710788727
43,8,3,0,0,0,1,0,0,1,0,0.37196657061576843
44,8,7,0,0,0,1,0,0,1,0,0.21347223222255707
45,8,10,0,0,0,1,0,0,1,0,0.2500532567501068
