,size1,size2,date_x,integer_x,string_x,time_x,date_y,integer_y,string_y,time_y,outputscore
0,6,3,0,0,1,0,0,0,1,0,0.12850381433963776
1,6,7,0,0,1,0,0,0,1,0,0.02787574753165245
2,6,10,0,0,1,0,0,0,1,0,0.05443210527300835
3,6,4,0,0,1,0,1,0,0,0,0.06884225457906723
4,6,6,0,0,1,0,0,0,1,0,0.07502371817827225
5,6,8,0,0,1,0,0,0,0,1,0.07578769326210022
6,6,20,0,0,1,0,0,0,1,0,0.1593896597623825
7,2,15,1,0,0,0,0,0,1,0,0.2771349847316742
8,2,4,1,0,0,0,0,0,1,0,0.32207947969436646
9,2,4,1,0,0,0,0,0,1,0,0.21473823487758636
10,2,5,1,0,0,0,0,0,1,0,0.2163735032081604
11,2,5,1,0,0,0,0,0,1,0,0.16812929511070251
12,2,3,1,0,0,0,1,0,0,0,0.2669040262699127
13,2,2,1,0,0,0,0,0,1,0,0.23942215740680695
14,2,40,1,0,0,0,0,0,1,0,0.2227097600698471
15,2,3,1,0,0,0,0,1,0,0,0.2574247419834137
16,2,3,1,0,0,0,0,1,0,0,0.17175251245498657
17,2,41,1,0,0,0,0,1,0,0,0.2642323672771454
18,2,41,1,0,0,0,0,1,0,0,0.18697717785835266
19,2,15,1,0,0,0,0,0,1,0,0.18377313017845154
20,2,45,1,0,0,0,0,1,0,0,0.2268718183040619
21,2,45,1,0,0,0,0,1,0,0,0.17648231983184814
22,2,3,1,0,0,0,0,0,1,0,0.26109933853149414
23,2,3,1,0,0,0,0,0,1,0,0.25972849130630493
24,2,1,1,0,0,0,0,0,1,0,0.24184352159500122
25,2,8,1,0,0,0,0,0,0,1,0.297264039516449
26,2,20,1,0,0,0,0,0,1,0,0.403324156999588
27,2,6,1,0,0,0,0,0,1,0,0.21387025713920593
28,2,60,1,0,0,0,0,1,0,0,0.2531726062297821
29,2,4,1,0,0,0,0,1,0,0,0.36746591329574585
30,2,3,1,0,0,0,1,0,0,0,0.4493630528450012
31,2,20,1,0,0,0,0,0,1,0,0.23934563994407654
32,2,5,1,0,0,0,0,0,1,0,0.3153742253780365
33,2,5,1,0,0,0,0,0,1,0,0.21651898324489594
34,2,7,1,0,0,0,0,0,1,0,0.4699266254901886
35,2,3,1,0,0,0,0,0,1,0,0.42231103777885437
36,2,8,1,0,0,0,0,0,0,1,0.49139082431793213
37,2,3,1,0,0,0,0,0,1,0,0.4226144254207611
38,2,20,1,0,0,0,0,0,1,0,0.595317006111145
39,150,8,0,0,1,0,0,0,1,0,0.44513756036758423
40,150,300,0,0,1,0,0,0,1,0,0.48944175243377686
41,150,150,0,0,1,0,0,0,1,0,0.48173487186431885
42,150,40,0,0,1,0,0,0,1,0,0.7312989830970764
43,8,15,0,0,0,1,0,0,1,0,0.24778319895267487
44,8,4,0,0,0,1,0,0,1,0,0.3119613528251648
45,8,4,0,0,0,1,0,0,1,0,0.18466955423355103
46,8,5,0,0,0,1,0,0,1,0,0.182724267244339
47,8,5,0,0,0,1,0,0,1,0,0.1349143236875534
48,8,3,0,0,0,1,1,0,0,0,0.2236274778842926
49,8,2,0,0,0,1,0,0,1,0,0.2421133667230606
50,8,40,0,0,0,1,0,0,1,0,0.21507057547569275
51,8,3,0,0,0,1,0,1,0,0,0.21949589252471924
52,8,3,0,0,0,1,0,1,0,0,0.133773535490036
53,8,41,0,0,0,1,0,1,0,0,0.23715431988239288
54,8,41,0,0,0,1,0,1,0,0,0.149726003408432
55,8,15,0,0,0,1,0,0,1,0,0.13440047204494476
56,8,45,0,0,0,1,0,1,0,0,0.2134450376033783
57,8,45,0,0,0,1,0,1,0,0,0.14574849605560303
58,8,3,0,0,0,1,0,0,1,0,0.2533722221851349
59,8,3,0,0,0,1,0,0,1,0,0.27051636576652527
60,8,1,0,0,0,1,0,0,1,0,0.22952446341514587
61,8,8,0,0,0,1,0,0,0,1,0.2735843062400818
62,8,20,0,0,0,1,0,0,1,0,0.4106767773628235
63,8,6,0,0,0,1,0,0,1,0,0.19464023411273956
64,8,60,0,0,0,1,0,1,0,0,0.2252989113330841
65,8,4,0,0,0,1,0,1,0,0,0.3621979355812073
66,8,3,0,0,0,1,1,0,0,0,0.40833213925361633
67,8,20,0,0,0,1,0,0,1,0,0.18340696394443512
68,8,5,0,0,0,1,0,0,1,0,0.316135048866272
69,8,5,0,0,0,1,0,0,1,0,0.1943695843219757
70,8,7,0,0,0,1,0,0,1,0,0.49761688709259033
71,8,3,0,0,0,1,0,0,1,0,0.4138430953025818
72,8,8,0,0,0,1,0,0,0,1,0.4651942253112793
73,8,3,0,0,0,1,0,0,1,0,0.4195728302001953
74,8,20,0,0,0,1,0,0,1,0,0.6237912178039551
75,7,8,0,0,1,0,0,0,1,0,0.24387463927268982
76,7,25,0,0,1,0,0,0,1,0,0.27427035570144653
77,7,40,0,0,1,0,0,0,1,0,0.08351610600948334
78,7,15,0,0,1,0,0,0,1,0,0.11373251676559448
79,7,2,0,0,1,0,0,1,0,0,0.28201907873153687
80,7,60,0,0,1,0,0,0,1,0,0.43121257424354553
81,3,3,0,1,0,0,0,0,1,0,0.1586592048406601
82,3,4,0,1,0,0,1,0,0,0,0.6485865712165833
83,3,15,0,1,0,0,0,0,1,0,0.27387067675590515
84,3,12,0,1,0,0,0,0,1,0,0.6039151549339294
85,3,8,0,1,0,0,0,0,0,1,0.6725150346755981
86,20,3,0,0,1,0,0,0,1,0,0.1088855192065239
87,20,4,0,0,1,0,1,0,0,0,0.5237941741943359
88,20,15,0,0,1,0,0,0,1,0,0.16360017657279968
89,20,12,0,0,1,0,0,0,1,0,0.48795583844184875
90,20,8,0,0,1,0,0,0,0,1,0.5395316481590271
91,35,3,0,1,0,0,0,0,1,0,0.03835192695260048
92,35,4,0,1,0,0,1,0,0,0,0.1862974613904953
93,35,15,0,1,0,0,0,0,1,0,0.09311224520206451
94,35,12,0,1,0,0,0,0,1,0,0.15907934308052063
95,35,8,0,1,0,0,0,0,0,1,0.19509826600551605
96,500,3,0,1,0,0,0,0,1,0,0.18467290699481964
97,500,4,0,1,0,0,1,0,0,0,0.6627099514007568
98,500,15,0,1,0,0,0,0,1,0,0.274929016828537
99,500,12,0,1,0,0,0,0,1,0,0.6404173374176025
100,500,8,0,1,0,0,0,0,0,1,0.6886507272720337
101,1,3,0,0,1,0,0,0,1,0,0.0774352177977562
102,1,4,0,0,1,0,1,0,0,0,0.4360983371734619
103,1,15,0,0,1,0,0,0,1,0,0.15307140350341797
104,1,12,0,0,1,0,0,0,1,0,0.40028613805770874
105,1,8,0,0,1,0,0,0,0,1,0.4574291706085205
106,41,3,0,1,0,0,0,0,1,0,0.10730339586734772
107,41,4,0,1,0,0,1,0,0,0,0.47331199049949646
108,41,15,0,1,0,0,0,0,1,0,0.278928279876709
109,41,12,0,1,0,0,0,0,1,0,0.4730234146118164
110,41,8,0,1,0,0,0,0,0,1,0.5056670308113098
111,45,3,0,1,0,0,0,0,1,0,0.045736994594335556
112,45,4,0,1,0,0,1,0,0,0,0.19323280453681946
113,45,15,0,1,0,0,0,0,1,0,0.09654290229082108
114,45,12,0,1,0,0,0,0,1,0,0.1794290989637375
115,45,8,0,1,0,0,0,0,0,1,0.2171606719493866
