,size1,size2,integer_x,string_x,time_x,date_y,integer_y,string_y,time_y,outputscore
0,52,5,1,0,0,0,0,1,0,0.1257307231426239
1,52,60,1,0,0,0,0,1,0,0.09848532825708389
2,52,8,1,0,0,0,0,0,1,0.027038658037781715
3,52,15,1,0,0,0,0,1,0,0.003882060293108225
4,52,8,1,0,0,0,0,1,0,0.033702436834573746
5,70,8,0,1,0,0,0,1,0,0.7000499963760376
6,70,25,0,1,0,0,0,1,0,0.700544536113739
7,70,40,0,1,0,0,0,1,0,0.016247572377324104
8,70,15,0,1,0,0,0,1,0,0.018487591296434402
9,70,2,0,1,0,0,1,0,0,0.4797418713569641
10,70,60,0,1,0,0,0,1,0,0.865147590637207
11,30,15,0,1,0,0,0,1,0,0.2147960066795349
12,30,4,0,1,0,0,0,1,0,0.3900802731513977
13,30,4,0,1,0,0,0,1,0,0.06734590977430344
14,30,5,0,1,0,0,0,1,0,0.10046452283859253
15,30,5,0,1,0,0,0,1,0,0.022043300792574883
16,30,3,0,1,0,1,0,0,0,0.1161082461476326
17,30,2,0,1,0,0,0,1,0,0.1863720864057541
18,30,40,0,1,0,0,0,1,0,0.14234091341495514
19,30,3,0,1,0,0,1,0,0,0.09723056852817535
20,30,3,0,1,0,0,1,0,0,0.02350423112511635
21,30,41,0,1,0,0,1,0,0,0.2244018316268921
22,30,41,0,1,0,0,1,0,0,0.037914615124464035
23,30,15,0,1,0,0,0,1,0,0.011291847564280033
24,30,45,0,1,0,0,1,0,0,0.09502748399972916
25,30,45,0,1,0,0,1,0,0,0.02102113887667656
26,30,3,0,1,0,0,0,1,0,0.10556136816740036
27,30,3,0,1,0,0,0,1,0,0.21306949853897095
28,30,1,0,1,0,0,0,1,0,0.20389936864376068
29,30,8,0,1,0,0,0,0,1,0.1873059719800949
30,30,20,0,1,0,0,0,1,0,0.574103593826294
31,30,6,0,1,0,0,0,1,0,0.031825970858335495
32,30,60,0,1,0,0,1,0,0,0.027872808277606964
33,30,4,0,1,0,0,1,0,0,0.16521529853343964
34,30,3,0,1,0,1,0,0,0,0.24696749448776245
35,30,20,0,1,0,0,0,1,0,0.01377272978425026
36,30,5,0,1,0,0,0,1,0,0.25430673360824585
37,30,5,0,1,0,0,0,1,0,0.05513095110654831
38,30,7,0,1,0,0,0,1,0,0.4510345160961151
39,30,3,0,1,0,0,0,1,0,0.3064877688884735
40,30,8,0,1,0,0,0,0,1,0.35803309082984924
41,30,3,0,1,0,0,0,1,0,0.2022441029548645
42,30,20,0,1,0,0,0,1,0,0.7463781833648682
43,60,3,0,1,0,0,0,1,0,0.015364352613687515
44,60,4,0,1,0,0,0,1,0,0.01620808057487011
45,60,4,0,1,0,0,1,0,0,0.07522594183683395
46,60,4000,0,1,0,0,0,1,0,0.08485975116491318
47,60,2,0,1,0,0,1,0,0,0.13477823138237
48,60,50,0,1,0,0,0,1,0,0.18228498101234436
49,60,150,0,1,0,0,0,1,0,0.05842975527048111
50,60,8,0,1,0,0,0,1,0,0.10542502999305725
51,60,300,0,1,0,0,0,1,0,0.3733183443546295
52,60,150,0,1,0,0,0,1,0,0.1231730729341507
53,60,40,0,1,0,0,0,1,0,0.9035688042640686
54,8,3,0,1,0,0,0,1,0,0.030746299773454666
55,8,7,0,1,0,0,0,1,0,0.0020411061123013496
56,8,10,0,1,0,0,0,1,0,0.0020421184599399567
57,8,4,0,1,0,1,0,0,0,0.010914583690464497
58,8,6,0,1,0,0,0,1,0,0.02150164172053337
59,8,8,0,1,0,0,0,0,1,0.015455039218068123
60,8,20,0,1,0,0,0,1,0,0.038447894155979156
61,4000,8,0,1,0,0,0,1,0,0.05925627425312996
62,4000,300,0,1,0,0,0,1,0,0.20106348395347595
63,4000,150,0,1,0,0,0,1,0,0.08560072630643845
64,4000,40,0,1,0,0,0,1,0,0.6652742624282837
65,5,15,0,1,0,0,0,1,0,0.2282368391752243
66,5,4,0,1,0,0,0,1,0,0.48966240882873535
67,5,4,0,1,0,0,0,1,0,0.10728482156991959
68,5,5,0,1,0,0,0,1,0,0.12308294326066971
69,5,5,0,1,0,0,0,1,0,0.028152549639344215
70,5,3,0,1,0,1,0,0,0,0.15850089490413666
71,5,2,0,1,0,0,0,1,0,0.2116394340991974
72,5,40,0,1,0,0,0,1,0,0.16306187212467194
73,5,3,0,1,0,0,1,0,0,0.13193660974502563
74,5,3,0,1,0,0,1,0,0,0.03524680435657501
75,5,41,0,1,0,0,1,0,0,0.21841676533222198
76,5,41,0,1,0,0,1,0,0,0.043591324239969254
77,5,15,0,1,0,0,0,1,0,0.015516337938606739
78,5,45,0,1,0,0,1,0,0,0.12328478693962097
79,5,45,0,1,0,0,1,0,0,0.028860729187726974
80,5,3,0,1,0,0,0,1,0,0.12674394249916077
81,5,3,0,1,0,0,0,1,0,0.24218840897083282
82,5,1,0,1,0,0,0,1,0,0.2284349799156189
83,5,8,0,1,0,0,0,0,1,0.21712049841880798
84,5,20,0,1,0,0,0,1,0,0.4750763177871704
85,5,6,0,1,0,0,0,1,0,0.03046279214322567
86,5,60,0,1,0,0,1,0,0,0.029477115720510483
87,5,4,0,1,0,0,1,0,0,0.16903424263000488
88,5,3,0,1,0,1,0,0,0,0.23784931004047394
89,5,20,0,1,0,0,0,1,0,0.019125064834952354
90,5,5,0,1,0,0,0,1,0,0.22434096038341522
91,5,5,0,1,0,0,0,1,0,0.05122627317905426
92,5,7,0,1,0,0,0,1,0,0.4088273346424103
93,5,3,0,1,0,0,0,1,0,0.28442952036857605
94,5,8,0,1,0,0,0,0,1,0.3216326832771301
95,5,3,0,1,0,0,0,1,0,0.21232908964157104
96,5,20,0,1,0,0,0,1,0,0.5367487668991089
97,8,3,0,0,1,0,0,1,0,0.015089563094079494
98,8,4,0,0,1,0,0,1,0,0.015160636976361275
99,8,4,0,0,1,0,1,0,0,0.08076155185699463
100,8,4000,0,0,1,0,0,1,0,0.09830254316329956
101,8,2,0,0,1,0,1,0,0,0.1577984094619751
102,8,50,0,0,1,0,0,1,0,0.16501669585704803
103,8,150,0,0,1,0,0,1,0,0.06616173684597015
104,8,8,0,0,1,0,0,1,0,0.14734499156475067
105,8,300,0,0,1,0,0,1,0,0.4579782485961914
106,8,150,0,0,1,0,0,1,0,0.15300557017326355
107,8,40,0,0,1,0,0,1,0,0.8538216352462769
108,4,3,0,1,0,0,0,1,0,0.020529691129922867
109,4,4,0,1,0,1,0,0,0,0.22869065403938293
110,4,15,0,1,0,0,0,1,0,0.008969249203801155
111,4,12,0,1,0,0,0,1,0,0.2171175628900528
112,4,8,0,1,0,0,0,0,1,0.27822914719581604
113,15,3,0,1,0,0,0,1,0,0.016542257741093636
114,15,4,0,1,0,1,0,0,0,0.4625818729400635
115,15,15,0,1,0,0,0,1,0,0.01373467780649662
116,15,12,0,1,0,0,0,1,0,0.521331250667572
117,15,8,0,1,0,0,0,0,1,0.5389136672019958
118,40,3,0,1,0,0,0,1,0,0.018122557550668716
119,40,7,0,1,0,0,0,1,0,0.001517757191322744
120,40,10,0,1,0,0,0,1,0,0.0011898193042725325
121,40,4,0,1,0,1,0,0,0,0.0059664286673069
122,40,6,0,1,0,0,0,1,0,0.009403941221535206
123,40,8,0,1,0,0,0,0,1,0.008618487976491451
124,40,20,0,1,0,0,0,1,0,0.02840982750058174
125,70,8,0,1,0,0,0,1,0,0.31057554483413696
126,70,25,0,1,0,0,0,1,0,0.3224881589412689
127,70,40,0,1,0,0,0,1,0,0.008235715329647064
128,70,15,0,1,0,0,0,1,0,0.008076650090515614
129,70,2,0,1,0,0,1,0,0,0.34313809871673584
130,70,60,0,1,0,0,0,1,0,0.6661390662193298
